_source_file,action,calendar_size,calendar_size_after,calendar_size_sent,duplicates_ignored,event,final_sync,lamport,lamport_after,lamport_before,left_neighbor,message_id,message_lamport,message_vector,new_events_added,node_id,port,received_event_count,received_lamport,received_vector,receiver_node,right_neighbor,scheduled_delay_seconds,sender_node,state_hash,state_hash_after,state_hash_sent,vector,vector_after,vector_before,wall_time_utc
node-1.jsonl,RECEIVE_STATE,,10,,5,,False,,20,12,,N00-M0004,,,5,1,,10,19,"[10, 7, 3, 0, 0, 0, 3, 4, 5, 8]",,,,0,,9979a0de4b6f0fbbb6c7ab3a09632f22f62b71512157e6915413d4c6b3d01f00,,,"[10, 9, 3, 0, 0, 0, 3, 4, 5, 8]","[5, 8, 3, 0, 0, 0, 0, 0, 0, 3]",2026-09-13T14:09:12.350Z
node-3.jsonl,LOCAL_SCHEDULE,,5,,,"{""creator_node"": 3, ""end_time"": ""16:20"", ""event_id"": ""N03-E02"", ""event_number"": 2, ""lamport_timestamp"": 12, ""simulation_date"": ""2030-10-01"", ""start_time"": ""16:00"", ""title"": ""Node 3 Event 2"", ""vector_timestamp"": [0, 3, 4, 6, 2, 0, 0, 0, 0, 0]}",,,12,,,,,,,3,,,,,,,48,,,6e58f259678abfdb2cc32a13c071feb30e1279e4f4dcdd8f1eec69cd92dd4744,,,"[0, 3, 4, 6, 2, 0, 0, 0, 0, 0]",,2026-09-13T14:09:14.614Z
node-3.jsonl,SEND_STATE,,,5,,,,,,,,N03-M0003,13,"[0, 3, 4, 7, 2, 0, 0, 0, 0, 0]",,3,,,,,2,,,,,,6e58f259678abfdb2cc32a13c071feb30e1279e4f4dcdd8f1eec69cd92dd4744,,,,2026-09-13T14:09:14.615Z
node-2.jsonl,RECEIVE_STATE,,8,,4,,False,,15,14,,N03-M0003,,,1,2,,5,13,"[0, 3, 4, 7, 2, 0, 0, 0, 0, 0]",,,,3,,f44894b64f531bae3d61b4a54147080ca7e4e9d8280766e049c16013c2bc175b,,,"[5, 8, 7, 7, 2, 0, 0, 0, 0, 3]","[5, 8, 6, 4, 2, 0, 0, 0, 0, 3]",2026-09-13T14:09:14.623Z
node-3.jsonl,SEND_STATE,,,5,,,,,,,,N03-M0004,14,"[0, 3, 4, 8, 2, 0, 0, 0, 0, 0]",,3,,,,,4,,,,,,6e58f259678abfdb2cc32a13c071feb30e1279e4f4dcdd8f1eec69cd92dd4744,,,,2026-09-13T14:09:14.624Z
node-4.jsonl,RECEIVE_STATE,,10,,4,,False,,16,15,,N03-M0004,,,1,4,,5,14,"[0, 3, 4, 8, 2, 0, 0, 0, 0, 0]",,,,3,,a5e7dbcd596826d98c91418c7cef64868d2b6bbfd64afc80f5581d8f887366bd,,,"[0, 3, 4, 8, 7, 8, 7, 3, 0, 0]","[0, 3, 4, 5, 6, 8, 7, 3, 0, 0]",2026-09-13T14:09:14.627Z
node-4.jsonl,LOCAL_SCHEDULE,,11,,,"{""creator_node"": 4, ""end_time"": ""21:00"", ""event_id"": ""N04-E02"", ""event_number"": 2, ""lamport_timestamp"": 17, ""simulation_date"": ""2030-10-01"", ""start_time"": ""20:40"", ""title"": ""Node 4 Event 2"", ""vector_timestamp"": [0, 3, 4, 8, 8, 8, 7, 3, 0, 0]}",,,17,,,,,,,4,,,,,,,88,,,db9f42d8326283c7dbc1385cdb8b63758f4d5716ef525547404599d0771365ac,,,"[0, 3, 4, 8, 8, 8, 7, 3, 0, 0]",,2026-09-13T14:09:15.439Z
node-4.jsonl,SEND_STATE,,,11,,,,,,,,N04-M0003,18,"[0, 3, 4, 8, 9, 8, 7, 3, 0, 0]",,4,,,,,3,,,,,,db9f42d8326283c7dbc1385cdb8b63758f4d5716ef525547404599d0771365ac,,,,2026-09-13T14:09:15.441Z
node-3.jsonl,RECEIVE_STATE,,11,,5,,False,,19,14,,N04-M0003,,,6,3,,11,18,"[0, 3, 4, 8, 9, 8, 7, 3, 0, 0]",,,,4,,db9f42d8326283c7dbc1385cdb8b63758f4d5716ef525547404599d0771365ac,,,"[0, 3, 4, 9, 9, 8, 7, 3, 0, 0]","[0, 3, 4, 8, 2, 0, 0, 0, 0, 0]",2026-09-13T14:09:15.446Z
node-4.jsonl,SEND_STATE,,,11,,,,,,,,N04-M0004,19,"[0, 3, 4, 8, 10, 8, 7, 3, 0, 0]",,4,,,,,5,,,,,,db9f42d8326283c7dbc1385cdb8b63758f4d5716ef525547404599d0771365ac,,,,2026-09-13T14:09:15.448Z
